type,exclude,date,date_end,what,what_translation,institution,department,where,additional_info,code,dashboard,project_link,additional_info2,url,slides,video,short_cv,order,academic,professional_2_page,website,one_column_paged,brief_no_pubs,humanities,humanities_description
education,NA,2009-08-01,2016-01-01,Bachelor in Computer Engineering,NA,NA,NA,Federal University of Pará,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
work,NA,2013-10-21,present,Judicial assistant,NA,NA,NA,Pará State Court of Justice,"Activity: Analysis of at least 600 court lawsuits per month, at all procedural stages.",NA,NA,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
certification,NA,2022-04-15,2022-05-07,Professional Data Analyst Certificate,NA,NA,NA,[Datacamp](https://www.datacamp.com/certificate/DA0010574268485),NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
certification,NA,2022-04-01,2022-04-28,Big Data with PySpark,NA,NA,NA,[Datacamp](https://www.datacamp.com/statement-of-accomplishment/track/c66fe7f0182e34090c2b12f4c294b17442c7d7b8),NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
certification,NA,2021-06-01,2021-08-08,Google Data Analytics,NA,NA,NA,[Coursera](https://coursera.org/share/b8f00a8635126ef11eed8b4564c64cde),NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
certification,NA,2022-01-01,2022-01-17,Big Data Analytics with R and Azure Machine Learning,NA,NA,NA,[Data Science Academy](https://drive.google.com/file/d/1A-UYJCoR1tN-tBXzlY7l7kEcW3eWngsU/view),NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
certification,NA,2022-05-15,2022-06-04,Power BI Fundamentals,NA,NA,NA,[Datacamp](https://www.datacamp.com/statement-of-accomplishment/track/3f65ca0cce1c1cc9d9e085ee8945fb1d22d66481) ,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
certification,NA,2021-04-01,2021-10-23,Data Analyst with R,NA,NA,NA,[Datacamp](https://www.datacamp.com/statement-of-accomplishment/track/741d51b812064aa5d25006d194342bad0d3344db)  ,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
portfolio,NA,2021-01-01,2021-02-02,"Bikeshare – exploratory analysis (R, Rmarkdown)",NA,NA,NA,NA,NA,[code](https://github.com/talesgomes27/DAC8-Case-Study-1),NA,[project](https://talesgomes27.github.io/DAC8-Case-Study-1/),NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
portfolio,NA,2022-05-10,2022-05-17,Custumers Churn Analysis (Power BI),NA,NA,NA,NA,NA,[code](https://github.com/talesgomes27/datacamp_projects/tree/main/databel-churn-analysis-in-power-bi),NA,[project](https://talesgomes27.github.io/datacamp_projects/databel-churn-analysis-in-power-bi/Databel_Churn_Analysis.pdf),NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
portfolio,NA,2022-01-01,2022-02-01,"Nasa Fireball Events (R, Shiny)",NA,NA,NA,NA,NA,[code](https://github.com/talesgomes27/nasa_fireball),NA,[project](https://talesgomes27.shinyapps.io/nasa_fireball/),NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
portfolio,NA,2022-05-01,2022-05-08,Analyzing Job Market Data (Power BI),NA,NA,NA,NA,NA,[code](https://github.com/talesgomes27/datacamp_projects/tree/main/analyzing-job-market-data-in-power-bi),NA,[project](https://talesgomes27.github.io/datacamp_projects/analyzing-job-market-data-in-power-bi/Analyzing_Job_Market_Data_in_Power_BI.pdf),NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
portfolio,NA,2022-04-01,2022-04-05,School preparation exam influence (Python),NA,NA,NA,NA,NA,NA,NA,[project](https://app.datacamp.com/workspace/w/786a6fd1-754d-45d7-a3e9-2830fbde4eae#6-summarize-your-findings),NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
portfolio,NA,2021-12-01,2021-12-31,"Forest fires in Brazil (R, Rmarkdown, Tableau)",NA,NA,NA,NA,NA,[code](https://github.com/talesgomes27/kaggle/tree/main/kaggle/forest-fires-in-brazil),[dashboard](https://public.tableau.com/app/profile/tales.gomes/viz/FocosdeincndiosnoBrasil1998a2017/FocosdeincndionoBrasil),[project](https://talesgomes27.github.io/kaggle/kaggle/forest-fires-in-brazil/Forest_fires_in_Brazil.html),NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
